Pregunta,Respuesta,Etiqueta
"¿Cómo describe el Dr. Seward su encuentro con un agresor en septiembre?","El Dr. Seward se enfrenta a su atacante con un cuchillo de cocina y logra golpearlo sin herirse gravemente. Después de que lo aprehenden, el Dr. Seward es horrido al ver el agresor bebiendo su sangre herida.","Descripción"
"¿Qué informa el telegrama de Van Helsing?","Van Helsing le instruye a Seward para mantener la vigilancia en Hillingham, lo que demuestra su preocupación por el estado de Lucy.","Telegrama"
"Qué sucede en el diario de Lucy el 17 de septiembre?","Lucy se acuesta en su cama y duerme, pero despertada por un aleteo en la ventana, que ella conoce bien.","Diario/Lucy"
"Después del regreso a casa de Mina desde Londres, qué oyó ella antes de dormir?","Antes de dormirse después del regreso a casa, Mina escuchó el rugido de un perro.","Rugido"
"Después del regreso de Mina desde Londres, cuál es el último ruido que ella escucha antes de dormirse?","El último ruido que Mina escucha antes de dormirse es el estrépito de una ventana quebrada y el aleteo de las vidrieras voladas hacia adentro por el viento.","Vidrieras/Ruido"
"Cuál es el último monstruo que Mina ve antes de ser atacada?","El último monstruo que Mina ve antes de ser atacada es un lobo.","Lobo"
"Después de la muerte de Mina, qué es lo que Mina ve por último?","La imagen de su madre muerta y el ruido de los campanarios despertan a Mina del shock.","Madre/Ruido"
"Después de la muerte de Mina, ¿qué ordena Jonathan?","Jonathan ordena que las sirvientas vayan al comedor a tomar un vaso de vino.","Sírvientas/Vino"
"Qué dice Jonathan al final del capítulo XII?","Jonathan le pide protección a Dios antes de abandonar el diario y murir.","Final"
"¿Qué motivo tiene Jonathan Harker por temer disturbiar a Lucy o su madre?","Jonathan Harker se preocupa por no perturbarlas y espera que solo una sirvienta responda para evitar despertar a Lucy y su madre.","Miedo a despertar"
"¿Qué pasa alrededor de la casa?","La casa de Lucy está guardada contra cualquier entrada. Todas las ventanas y puertas están cerradas y los reojes y llaves han sido despejados. El caballo que se acerca antes del portón es van Helsing, quien va a hablar con Jonathan Harker.", "Guarda"
"¿Qué acción realiza van Helsing con la sierra quirúrgica?","van Helsing utiliza una sierra quirúrgica para cortar los barrotes de hierro que protegen las ventanas y abre una.","Abriera ventana"
"¿Qué encuentran van Helsing y Jonathan en la habitación de Lucy?","van Helsing y Jonathan descubren a sus cadáveres. Lucy está cubierta con flores, mientras que su madre tiene el rostro blanco con un terror fijo.", "Muertos"
"¿Qué acción realiza el profesor en la habitación?","El profesor intenta revivir a Lucy con brandy. Se le piden que despierte a las sirvientas.", "Revivido"
"¿Qué ordena el profesor a las sirvientas?","El profesor les ordena despertarse y preparar el fuego y el agua para intentar revivir a Lucy.", "Despertar"
"¿Qué causa que trabaja Mina Murray junto con su maestro Drácula para salvar a Lucy?","Mina y el doctor Seward trabajan con Drácula para salvar a Lucy del peligro de la muerte.","Lucha contra muerte"
"¿Qué método médico usa van Helsing para intentar salvar a Lucy?","van Helsing utiliza baños calientes y un suave pañuelo de seda alrededor del cuello de Lucy, para tratar de salvarla de la muerte.","Método médico"
"¿Qué pasa si Lucy no recibe transfusión de sangre de prontitud?","Si Lucy no recibe una transfusión de sangre a tiempo, su vida correrá peligro.","Transfusión de Sangre/Tiempo"
"¿Qué causa provoca la preocupación de Quincey Morris?","La preocupación de Quincey Morris es Artúrus."
"¿Cuáles son las consecuencias de la transfusión?","La recuperación de Lucy es lenta y se produce después de que Quincey Morris dona su sangre.","Transfusión/Consecuencias"
"¿Qué se descubre del papel encontrado en el pecho de Lucy?","El papel revela la identidad del vampiro como Count Dracula y describe sus intenciones malévolas.","Vampiro/Papel"
"¿Qué documento debe ser presentado para evitar pesquisas y permitir el entierro rito de Lucy?","Se debe presentar un certificado de defunción.","Documentos/Certificados"
"¿Qué pasa con el certificado de defunción ahora?","El certificado de defunción está lleno y ya ha sido entregado para la registración.","Entregado/Registro"
"Qué preocupación tiene Quincey Morris por Lucy Westenra?","Quincey Morris se preocupa porque Lucy sigue padeciendo a pesar de haber mejorado.","Preocupación por Lucy"
"Qué te revela Quincey Morris sobre Arthur Holmwood?","Quincey Morris cree que Arthur Holmwood fue el primero en sufrir las mordidas de un vampiro.","Revelación acerca de Arthur"
"¿Cuál es el estado actual de Lucy Westenra?","Lucy sigue padeciendo desde hace aproximadamente diez días.",Persona/Condición
"¿Quántos hombres han donado su sangre a Lucy?","Cuatro hombres".Cantidad
"¿Qué pasa cuando Lucy despertar?","Cuando Lucy despertó, extrajo el papel colocado en su pecho por Van Helsing y se alegró.",Despertando de un sueño/Alarmas
"Qué sucede con Mina durante el viaje?","Mina se queda desalentada tras la muerte de su madre. Durante el viaje, ella intenta romper un papel que guardaba en su pecho, y finalmente logra hacerlo cuando está dormida. Van Helsing confisca los pedazos del papel.","Emociones"
"¿Qué estado está Lucy en la mañana del 19 de septiembre?","Lucy se encuentra con una pálida apariencia y se mantiene dormida. El día muestra los estragos en su fortaleza, y sus esfuerzos para alimentarse no tienen efecto. Mientras dormida se ve más fuerte pero trasnochada, su respiración es más suave, y sus labios retorcidos muestran las encías retraídas de los dientes.","Estado Lucy"
"¿Qué ocurre cuando Arthur regresa?","La llegada de Arthur hace que Lucy se reanime un poco, y puede hablar con él más claramente que desde su enfermedad.","Regreso Arthur"
"¿Qué información va a Mina escribir a Lucy Westenra?","Mina va a escribir sobre el buen estado de su marido, y que este la está esperando en una casa de Exeter junto con la familia Hawkins.","Carta de Mina"
"¿Qué relata Mina en esta carta a Lucy?","Mina nos relata que se encuentra bien con su marido en la casa de los Hawkins. El anciano señor Hawkins les brinda una benevolencia apasionada y nombra a Jonathan e Mina como sus herederos universales.", "Cartas de Mina"
"¿Qué información debe Lucy en la carta de Mina?","Lucy debe enterarse sobre el estado de salud de su madre y que Mina tiene la intención de ir a verla.", "Carta de Mina"
"Qué deseos le envía Jonathan a Lucy?","Jonathan le envía sus 'respetuosos saludos' y su 'cariño' a Lucy.","Deseos"
"¿En qué estado se encuentra la relación entre Lucy y Mina Harker antes de partirse para Transilvania?","La relación entre Lucy y Mina Harker está muy vinculada antes de su partida hacia Transilvania.","Estado relación"
"¿Quiénes visitaron la casa Harker y con qué propósito?","Un carruaje con dos hombres llegó a la casa vacía de los Harker. Los hombres preguntaron al portero sobre el camino, pero no se supo nada más sobre sus intenciones.","Visitantes"
"¿Qué pasó entre Renfield y uno de los visitantes?","El hombre que llegó a la casa encontró a Renfield sin aparente razón para estar enojado, pero cuando se lo preguntó sobre el incidente anterior, él se mostró confundido e incluso pareció haberlo olvidado.","Renfield/Visitante"
"¿Quiénes fueron los visitantes y qué habían hecho?","Un carruaje cargado de madera llegó a la casa y encontró a Renfield sin ninguna razón para estar enojado. Sin embargo, cuando le preguntaron sobre el incidente anterior, él se mostró confundido e incluso pareció haberlo olvidado. Más tarde, el mismo carruaje volvió para transportar algunas cajas de madera y Renfield intentó atacarlos.","Visitantes/Incidente"
"¿Cómo actuó Renfield después de ser atravesado con látigo?","Renfield siguió luchando contra los dos asistentes y otros cuidadores que intentaban llevarlo a casa, pero finalmente fueron capaces de encerrarlo en una celda segura. Uno de ellos recibió un dedo lastimado durante el enfrentamiento.","Renfield/Lucha"
"¿Qué razones ofrecieron los cocheros para su derrota?","Los dos hombres argumentaron que habrían sido capaces de derrotar a Renfield si no hubiese gastado tantas fuerzas al cargar las cajas de madera, y también alegaron que el trabajo de secar las viñas había reducido su estado físico y habían tenido poco contacto con la sociedad.","Razones"
"Cuál es la fecha de la carta de Mina a Lucy Westenra?","La fecha de la carta es el 18 de septiembre.","Cartas"
"Qué pasó con Mr. Hawkins?","Mr. Hawkins murió repentinamente, lo que fue un golpe para tanto Jonathan como Mina.","Muerte"
"Qué hace Jonathan para ocuparse?","Jonathan se ocupa del legado que Mr. Hawkins le dejo, el cual para gente de su origen es una fortuna más allá de los sueños de avaricia. También asume grandes responsabilidades.","Haceres"
"Qué reacciona Lucy cuando Mina le escribe sobre la muerte de Mr. Hawkins?","Lucy está triste por la pérdida de Mr. Hawkins, ya que ambos habían llegado a quererlo tanto.,"Reacción"
"Qué pasa con Mina?","Mina está molestando a Jonathan por el funeral de Mr. Hawkins y se siente desgraciada y abatida.","Estado de ánimo/emociones"
"Qué pasa con Arthur?","Arthur está siendo cuidado y acogido por Van Helsing para que no se sienta solo e iso ayude a mantenerle tranquilo.","Cuidados/ayuda"
"Qué le está sucediendo a Lucy?","Lucy está experimentando problemas de salud y descomposición. Sus dientes parecen más largos y agudos que antes.", "Estado de ánimo/emociones"
"Qué hace Van Helsing?","Van Helsing cuida a Arthur para que no se sienta solo y lo ayuda en la salud mental.","Cuidados/ayuda"
"¿Qué descubre Van Helsing sobre Lucy en la mañana?","Van Helsing descubre que las heridas en la garganta de Lucy han desaparecido completamente.","Descubrimiento"
"¿Qué instruye Van Helsing al muchacho en este momento?","Van Helsing instruye al joven muchacho a que se despliegue y vea el final de Lucy con ellos.","Instrucciones"
"¿Qué pasa con Lucy en este momento?","Lucy muere después de haber besado a Arthur por última vez y se queda inconsciente.","Muere"
"¿Qué se desarrolla en esta escena?","Lucy muere y vuelve a morir como vampiro, con Van Helsing intentando protegerla del amor de Arthur.","Muere/Revive como vampiro"
"¿Qué pasa entre Lucy y Van Helsing al final?","Lucy vuelve a morir como vampiro pero se desintegra después de darle un beso mortal a su mejor amigo.","Muere definitivamente"
"¿Qué finalmente le sucede a Lucy?","Lucy muere definitivamente y sus apariencia vuelve a ser la de una joven hermosa.","Muere definitivamente/Su belleza es restaurada"
"Cuál es el nombre de quien se encarga de los trámites fúnebres en 'Drácula'?","El Dr. Seward se encarga de los trámites fúnebres para Lucy y su madre.","Trabajos fúnebres"
"Cuál es el motivo detrás del funeral de Lucy e Isabella Cullen?","Se lleva a cabo el funeral para permitir que Lucy y su madre se enterren juntas.","Motivo funeral"
"Qué papeles buscan examinar los protagonistas en 'Drácula'?","Los personajes examinan documentos y correspondencia de Lucy Westenra.","Examen documentos/correspondencia"
"Por qué el doctor Seward decide atender a van Helsing durante las ceremonias funerarias?","El Dr. Seward se encarga de los trámites fúnebres para facilitar que el doctor van Helsing pueda continuar con sus investigaciones.","Motivo colaboración"
"¿Cuál es el nombre y dirección del abogado de Lucy Westenra?","El abogado de Lucy se llama (nombre) y su oficina está en (dirección).","Nombre y Dirección abogado"
"Por qué van Helsing y Seward examinan los papeles de la difunta Lucy?","Los documentos sirven para resolver algún misterio que rodea a la muerte de Lucy.","Motivo examen documentos"
"Qué descubren los personajes tras examinar los papeles de Lucy Westenra?","Los protagonistas descubren cartas y notas relevantes que resuelven algún misterio sobre la muerte de Lucy.","Descubre contenido documentos"
